# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.129:9103,10.140.0.119:9103,92342
10.140.0.127:9103,10.140.0.117:9103,92358
10.140.0.130:9103,10.140.0.107:9103,92411
10.140.0.125:9103,10.140.0.106:9103,92491
10.140.0.103:9103,10.140.0.127:9103,92516
10.140.0.104:9103,10.140.0.124:9103,92528
10.140.0.105:9103,10.140.0.101:9103,92633
10.140.0.106:9103,10.140.0.107:9103,92704
10.140.0.108:9103,10.140.0.125:9103,92724
10.140.0.108:9103,10.140.0.104:9103,92937
10.140.0.104:9103,10.140.0.102:9103,92944
10.140.0.130:9103,10.140.0.108:9103,92962
10.140.0.124:9103,10.140.0.121:9103,92973
10.140.0.124:9103,10.140.0.117:9103,93025
10.140.0.113:9103,10.140.0.112:9103,93087
10.140.0.130:9103,10.140.0.124:9103,93185
10.140.0.108:9103,10.140.0.121:9103,93204
10.140.0.121:9103,10.140.0.105:9103,93239
10.140.0.105:9103,10.140.0.108:9103,93380
10.140.0.107:9103,10.140.0.104:9103,93394
10.140.0.109:9103,10.140.0.129:9103,93421
10.140.0.122:9103,10.140.0.130:9103,93428
10.140.0.126:9103,10.140.0.109:9103,93453
10.140.0.122:9103,10.140.0.123:9103,93503
10.140.0.123:9103,10.140.0.124:9103,93522
10.140.0.121:9103,10.140.0.123:9103,93538
10.140.0.125:9103,10.140.0.130:9103,93804
10.140.0.103:9103,10.140.0.115:9103,93851
10.140.0.124:9103,10.140.0.108:9103,93857
10.140.0.121:9103,10.140.0.102:9103,93900
10.140.0.129:9103,10.140.0.118:9103,93940
10.140.0.101:9103,10.140.0.124:9103,94054
10.140.0.125:9103,10.140.0.102:9103,94079
10.140.0.109:9103,10.140.0.128:9103,94101
10.140.0.124:9103,10.140.0.101:9103,94151
10.140.0.104:9103,10.140.0.107:9103,94191
10.140.0.102:9103,10.140.0.109:9103,94302
10.140.0.122:9103,10.140.0.104:9103,94352
10.140.0.128:9103,10.140.0.116:9103,94372
10.140.0.126:9103,10.140.0.128:9103,94407
10.140.0.104:9103,10.140.0.125:9103,94579
10.140.0.121:9103,10.140.0.103:9103,94598
10.140.0.128:9103,10.140.0.105:9103,94724
10.140.0.128:9103,10.140.0.123:9103,94848
10.140.0.109:9103,10.140.0.106:9103,94888
10.140.0.105:9103,10.140.0.123:9103,94917
10.140.0.107:9103,10.140.0.122:9103,94988
10.140.0.103:9103,10.140.0.130:9103,95006
10.140.0.127:9103,10.140.0.104:9103,95014
10.140.0.109:9103,10.140.0.130:9103,95036
10.140.0.129:9103,10.140.0.104:9103,95071
10.140.0.130:9103,10.140.0.102:9103,95126
10.140.0.109:9103,10.140.0.101:9103,95297
10.140.0.103:9103,10.140.0.124:9103,95367
10.140.0.124:9103,10.140.0.102:9103,95549
10.140.0.113:9103,10.140.0.127:9103,95569
10.140.0.104:9103,10.140.0.129:9103,95589
10.140.0.126:9103,10.140.0.125:9103,95590
10.140.0.102:9103,10.140.0.105:9103,95652
10.140.0.128:9103,10.140.0.111:9103,95825
10.140.0.103:9103,10.140.0.109:9103,95933
10.140.0.104:9103,10.140.0.106:9103,96032
10.140.0.103:9103,10.140.0.105:9103,96035
10.140.0.102:9103,10.140.0.125:9103,96107
10.140.0.125:9103,10.140.0.124:9103,96132
10.140.0.127:9103,10.140.0.125:9103,96360
10.140.0.124:9103,10.140.0.122:9103,96385
10.140.0.121:9103,10.140.0.106:9103,96469
10.140.0.105:9103,10.140.0.125:9103,96680
10.140.0.123:9103,10.140.0.105:9103,96744
10.140.0.102:9103,10.140.0.124:9103,96778
10.140.0.124:9103,10.140.0.107:9103,96827
10.140.0.127:9103,10.140.0.121:9103,96884
10.140.0.129:9103,10.140.0.121:9103,97149
10.140.0.103:9103,10.140.0.107:9103,97180
10.140.0.104:9103,10.140.0.101:9103,97234
10.140.0.106:9103,10.140.0.105:9103,97254
10.140.0.128:9103,10.140.0.124:9103,97348
10.140.0.130:9103,10.140.0.129:9103,97364
10.140.0.102:9103,10.140.0.128:9103,97479
10.140.0.124:9103,10.140.0.104:9103,97516
10.140.0.107:9103,10.140.0.128:9103,97578
10.140.0.128:9103,10.140.0.121:9103,97683
10.140.0.124:9103,10.140.0.129:9103,97895
